symbol,name,role,data_status,market_data_date,swing_regime,swing_downside_probability,swing_relative_probability,swing_20d_downside_probability,swing_20d_relative_probability,swing_63d_downside_probability,swing_63d_relative_probability,long_126d_downside_probability,long_126d_relative_probability,long_252d_downside_probability,long_252d_relative_probability,swing_action,swing_pending_action,long_term_action,long_term_pending_action
BRG.OL,Borregaard,active_watchlist,Current,2026-08-12,Neutral,0.26681614349775784,0.5033632286995515,0.23725055432372505,0.4700665188470067,0.26681614349775784,0.5033632286995515,0.264472190692395,0.4767309875141884,0.2318471337579618,0.5299363057324841,Watch / monitor,,Watch / monitor,
NORBT.OL,Norbit,active_watchlist,Current,2026-08-12,Neutral,0.20600858369098712,0.6180257510729614,0.1854043392504931,0.5621301775147929,0.20600858369098712,0.6180257510729614,0.1925601750547046,0.6586433260393874,0.20270270270270271,0.9378378378378378,Watch / monitor,,Watch / monitor,
TEL.OL,Telenor,active_watchlist,Current,2026-08-12,Defensive,0.30116959064327486,0.46637426900584794,0.2611190817790531,0.4964131994261119,0.30116959064327486,0.46637426900584794,0.35542168674698793,0.4141566265060241,0.2535211267605634,0.4084507042253521,Defer new buying / review risk,,Defer new buying / review risk,
PUBLI.OL,Public Property Invest,active_watchlist,Current,2026-08-12,Defensive,0.19298245614035087,0.3333333333333333,0.29591836734693877,0.4897959183673469,0.19298245614035087,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.0,Defer new buying / review risk,,Defer new buying / review risk,
COSH.OL,Constellation Oil Services Holding,active_watchlist,Current,2026-08-12,Neutral,,,0.16,0.32,,,,,,,No model view,,No model view,
CMBTO.OL,CMB.TECH,active_watchlist,Current,2026-08-12,,,,,,,,,,,,No model view,,No model view,
KIT.OL,Kitron,active_watchlist,Current,2026-08-12,Neutral,0.21048387096774193,0.5725806451612904,0.1988817891373802,0.46565495207667734,0.21048387096774193,0.5725806451612904,0.18689320388349515,0.6262135922330098,0.19561551433389546,0.7866779089376054,Watch / monitor,,Watch / monitor,
MOWI.OL,Mowi,coverage_reference,Current,2026-08-12,Neutral,0.17804551539491298,0.607764390896921,0.18875502008032127,0.5535475234270415,0.17804551539491298,0.607764390896921,0.16944444444444445,0.6020833333333333,0.19440459110473457,0.48206599713055953,Watch / monitor,,Watch / monitor,
FRO.OL,Frontline,proxy,Current,2026-08-12,Constructive,0.1446188340807175,0.6378923766816144,0.13665943600867678,0.5661605206073753,0.1446188340807175,0.6378923766816144,0.1346153846153846,0.6658653846153846,0.22908093278463648,0.6063100137174211,Watch / monitor,,Consider deeper entry research,Watch / monitor
KOG.OL,Kongsberg Gruppen,proxy,Current,2026-08-12,Neutral,0.20615671641791045,0.6007462686567164,0.16977611940298507,0.5615671641791045,0.20615671641791045,0.6007462686567164,0.17444029850746268,0.6856343283582089,0.1099116781157998,0.6584887144259077,Watch / monitor,,Watch / monitor,
OSEBX.OL,Oslo Børs Benchmark Index,benchmark,Current,2026-08-12,Constructive,0.14330462020360218,0.0,0.13597513597513597,0.0,0.14330462020360218,0.0,0.16734033953112368,0.0,0.13217391304347825,0.0,Watch / monitor,,Watch / monitor,
