symbol,name,role,data_status,market_data_date,swing_regime,swing_downside_probability,swing_relative_probability,swing_20d_downside_probability,swing_20d_relative_probability,swing_63d_downside_probability,swing_63d_relative_probability,long_126d_downside_probability,long_126d_relative_probability,long_252d_downside_probability,long_252d_relative_probability,swing_action,swing_pending_action,long_term_action,long_term_pending_action
BRG.OL,Borregaard,active_watchlist,Current,2026-08-13,Neutral,0.26681614349775784,0.5033632286995515,0.2369878183831672,0.4695459579180509,0.26681614349775784,0.5033632286995515,0.264472190692395,0.4767309875141884,0.2318471337579618,0.5299363057324841,Watch / monitor,,Watch / monitor,
NORBT.OL,Norbit,active_watchlist,Current,2026-08-13,Neutral,0.20600858369098712,0.6180257510729614,0.1854043392504931,0.5621301775147929,0.20600858369098712,0.6180257510729614,0.19213973799126638,0.6572052401746725,0.20485175202156333,0.9353099730458221,Watch / monitor,,Watch / monitor,
TEL.OL,Telenor,active_watchlist,Current,2026-08-13,Defensive,0.30116959064327486,0.46637426900584794,0.2621776504297994,0.49570200573065903,0.30116959064327486,0.46637426900584794,0.35639097744360904,0.41353383458646614,0.2535211267605634,0.4084507042253521,Defer new buying / review risk,,Defer new buying / review risk,
PUBLI.OL,Public Property Invest,active_watchlist,Current,2026-08-13,Defensive,0.1896551724137931,0.3448275862068966,0.29292929292929293,0.48484848484848486,0.1896551724137931,0.3448275862068966,0.13333333333333333,0.13333333333333333,0.0,0.0,Defer new buying / review risk,,Defer new buying / review risk,
COSH.OL,Constellation Oil Services Holding,active_watchlist,Current,2026-08-13,Neutral,,,0.15384615384615385,0.3076923076923077,,,,,,,No model view,,No model view,
CMBTO.OL,CMB.TECH,active_watchlist,Current,2026-08-13,,,,,,,,,,,,No model view,,No model view,
KIT.OL,Kitron,active_watchlist,Current,2026-08-13,Neutral,0.21014492753623187,0.571658615136876,0.19856459330143542,0.4649122807017544,0.21014492753623187,0.571658615136876,0.18659127625201938,0.6252019386106623,0.19528619528619529,0.7853535353535354,Watch / monitor,,Watch / monitor,
MOWI.OL,Mowi,coverage_reference,Current,2026-08-13,Neutral,0.17804551539491298,0.607764390896921,0.18875502008032127,0.5535475234270415,0.17804551539491298,0.607764390896921,0.1693268563497571,0.6016655100624566,0.19426523297491038,0.4817204301075269,Watch / monitor,,Watch / monitor,
FRO.OL,Frontline,proxy,Current,2026-08-13,Constructive,0.1444568868980963,0.6382978723404256,0.13651137594799567,0.5655471289274107,0.1444568868980963,0.6382978723404256,0.13445378151260504,0.6662665066026411,0.22908093278463648,0.6063100137174211,Watch / monitor,,Consider deeper entry research,
KOG.OL,Kongsberg Gruppen,proxy,Current,2026-08-13,Neutral,0.20615671641791045,0.6007462686567164,0.16977611940298507,0.5615671641791045,0.20615671641791045,0.6007462686567164,0.17444029850746268,0.6856343283582089,0.11078431372549019,0.657843137254902,Watch / monitor,,Watch / monitor,
OSEBX.OL,Oslo Børs Benchmark Index,benchmark,Current,2026-08-13,Constructive,0.1431924882629108,0.0,0.13597513597513597,0.0,0.1431924882629108,0.0,0.16720516962843296,0.0,0.13205907906168549,0.0,Watch / monitor,,Watch / monitor,
